trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.6, 'e': 0.862807070514761}",25,5,4.82008716080811,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.6, 'e': 0.8577086813638242}",25,0,-159.03081550175486,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
55,False,"{'a': 0.6, 'e': 0.8525245220595057}",20,0,-178.5131571865232,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
56,False,"{'a': 0.6, 'e': 0.8472551110134161}",25,0,-85.05178132795122,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.6, 'e': 0.8419009751622687}",25,0,-116.14230717264812,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
58,False,"{'a': 0.6, 'e': 0.8364626499151869}",20,0,-98.16230523650873,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.6, 'e': 0.8309406791001636}",30,9,-37.20127452251326,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.6, 'e': 0.8253356149096783}",25,14,-2.5589810198718252,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.6, 'e': 0.8196480178454795}",20,13,-7.610789016592141,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.6, 'e': 0.8138784566625339}",20,1,-111.81188599617649,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 1}",1
63,False,"{'a': 0.6, 'e': 0.8080275083121519}",25,0,-123.4856730209046,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
64,False,"{'a': 0.6, 'e': 0.8020957578842927}",25,0,-72.97084262896914,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.6, 'e': 0.7960837985490559}",20,0,-76.48065301998352,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
66,False,"{'a': 0.6, 'e': 0.7899922314973651}",25,15,-35.33713864534152,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
67,False,"{'a': 0.6, 'e': 0.7838216658808492}",20,0,-33.73037276580884,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.6, 'e': 0.7775727187509279}",20,0,-79.91954198483465,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
69,False,"{'a': 0.6, 'e': 0.7712460149971065}",35,0,-187.51258384195847,"{0: 23, 1: 2, 2: 5, 3: 2, 4: 3}",0
70,False,"{'a': 0.6, 'e': 0.7648421872844884}",20,16,6.676211218772048,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.6, 'e': 0.7583618759905082}",20,0,-83.94514163347809,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
72,False,"{'a': 0.6, 'e': 0.751805729140895}",20,1,-102.76205013251386,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 2}",1
73,False,"{'a': 0.6, 'e': 0.7451744023448704}",20,0,-152.2156997841318,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
74,False,"{'a': 0.6, 'e': 0.7384685587295879}",20,0,-65.55674069794239,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.6, 'e': 0.7316888688738209}",20,0,-46.41136274263608,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
76,False,"{'a': 0.6, 'e': 0.7248360107409052}",30,0,-92.24973825874524,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
